alpha,delta,class
135.6891066,32.49463184,GALAXY
144.8261006,31.27418489,GALAXY
142.1887896,35.58244418,GALAXY
338.7410378,-0.402827575,GALAXY
345.2825932,21.1838656,GALAXY
340.9951205,20.58947628,QSO
23.23492643,11.41818762,QSO
5.433176037,12.06518599,GALAXY
200.2904754,47.19940232,GALAXY
39.1496906,28.10284161,STAR
328.0920762,18.22031048,GALAXY
243.9866375,25.73828043,GALAXY
345.8018744,32.67286785,STAR
331.50203,10.03580205,GALAXY
344.9847703,-0.352615781,GALAXY
244.8245231,25.15456399,GALAXY
353.2015224,3.080795936,STAR
1.494388639,3.29174633,QSO
14.38313522,3.214326196,STAR
167.1316688,67.33993563,GALAXY
171.9754246,67.74745014,GALAXY
144.7852927,46.82649568,STAR
145.2730374,46.96013381,GALAXY
145.8830055,47.30048358,QSO
241.4262672,27.22469494,GALAXY
132.922468,4.521864697,GALAXY
143.2880176,5.552052211,GALAXY
140.6000381,5.265757704,GALAXY
333.3115106,-0.376122967,GALAXY
337.0934355,-0.31177327,GALAXY
252.7585486,19.49352687,GALAXY
240.2139089,27.96429085,GALAXY
255.5748935,45.47870292,GALAXY
20.05255573,11.49788077,QSO
144.721737,5.846847285,GALAXY
44.92336027,3.175548751,GALAXY
136.2630712,3.944003082,GALAXY
140.5129827,45.40361267,GALAXY
136.4183782,36.15267852,STAR
121.6100097,41.92872069,GALAXY
181.6453305,42.27399522,STAR
146.9257842,14.88003749,GALAXY
179.698615,33.67319762,GALAXY
332.0871561,17.41592025,GALAXY
188.0680012,7.561201476,GALAXY
344.7698884,26.92854864,STAR
40.79574267,3.564368114,GALAXY
228.4477283,12.74503193,QSO
345.221147,2.593461754,QSO
129.6280955,29.05905655,GALAXY
129.1990205,28.70175406,GALAXY
168.7266013,27.6809253,QSO
341.3918991,-0.3176731,GALAXY
355.1751317,11.84861064,GALAXY
5.016618104,11.95733598,GALAXY
117.8254525,28.94828104,GALAXY
7.295167962,15.2714948,GALAXY
242.0735629,30.73984433,GALAXY
238.4858024,33.12477863,GALAXY
246.4388755,27.73664265,GALAXY
230.2132666,33.3020821,GALAXY
252.6546525,19.73278903,GALAXY
240.664803,27.58654467,GALAXY
192.3450646,37.43512023,GALAXY
241.4373201,27.18005059,GALAXY
254.3532997,18.29647358,GALAXY
229.6086882,33.50265484,GALAXY
252.4109335,19.75733601,GALAXY
236.8022966,29.80142598,GALAXY
338.6601797,20.30826281,GALAXY
332.7613218,19.25864004,GALAXY
178.5046159,54.3791571,QSO
144.742439,46.96719089,QSO
124.2315837,3.643403828,GALAXY
11.0594434,11.93530448,QSO
12.22289416,11.86715114,STAR
338.518632,-0.370661907,GALAXY
357.1515193,-8.043402272,GALAXY
64.87562501,28.13092251,STAR
121.1812474,32.19427429,GALAXY
343.4616775,24.3003694,QSO
136.5016923,0.981632054,GALAXY
184.914328,42.41347853,STAR
187.9734249,42.28881555,QSO
131.9277691,11.69047929,GALAXY
206.4610082,7.427089641,QSO
197.5291513,33.15670811,GALAXY
132.8301979,44.72715755,QSO
153.4476487,56.05904188,GALAXY
271.620557,24.81033417,STAR
160.0565729,23.00492179,GALAXY
125.5937528,13.47743121,STAR
191.9743154,7.448371765,GALAXY
173.3195491,35.88475051,GALAXY
2.170252439,16.11295854,GALAXY
348.3358147,25.68558112,GALAXY
42.04851482,32.46601939,STAR
169.4172365,7.719849854,STAR
243.4989084,4.309791542,QSO
44.37408879,3.017933102,GALAXY
20.78260526,-6.876952044,GALAXY
150.8800311,4.873686683,GALAXY
132.8208583,30.87319979,GALAXY
140.5503268,34.90216421,GALAXY
145.198313,31.36179329,GALAXY
141.9489511,35.6620647,GALAXY
140.6792636,35.04811027,GALAXY
11.17152657,12.00731689,QSO
19.03452108,11.65873797,QSO
239.3319454,28.58180886,GALAXY
8.348878998,11.94139807,GALAXY
22.74684115,11.34387918,GALAXY
204.0055161,46.75826518,GALAXY
9.913195377,-1.112548439,GALAXY
333.1101136,-0.41561229,GALAXY
185.3537258,-2.58133748,QSO
161.751689,-2.308345565,QSO
253.5217439,19.05752435,GALAXY
341.9767943,10.93485171,QSO
182.9413692,54.44562608,STAR
332.4965618,19.15757811,GALAXY
343.7625683,-0.296242798,QSO
27.9236364,11.04438829,GALAXY
267.6272771,25.41078112,STAR
129.669106,39.08014163,GALAXY
335.5467392,22.4328896,GALAXY
335.5081821,22.47769393,GALAXY
159.7712179,22.90220673,QSO
161.1843151,23.1394412,STAR
1.731275974,16.08166307,GALAXY
339.6094457,-0.401523854,GALAXY
333.3540846,-0.320424236,GALAXY
348.9491566,-1.880417751,GALAXY
155.3825322,24.20731664,GALAXY
157.9167669,24.75035887,QSO
233.5470394,57.86139907,GALAXY
218.4943595,3.672961844,GALAXY
219.4043344,3.629358574,GALAXY
8.497824975,15.34199651,GALAXY
12.27911585,15.17629618,GALAXY
40.12550638,3.504013406,GALAXY
173.9845106,53.8740478,GALAXY
171.7118263,20.49908446,GALAXY
13.18660771,11.75612291,QSO
253.2321808,20.18198182,STAR
146.439282,2.237543307,GALAXY
154.9992571,2.519429043,GALAXY
129.5777165,29.04539998,GALAXY
135.6885486,32.36543236,GALAXY
169.863745,27.79838512,STAR
216.7386149,3.708190502,GALAXY
222.879539,3.359325321,GALAXY
6.291804013,15.29240195,GALAXY
263.0604632,34.13579959,STAR
244.9043201,24.95609665,GALAXY
338.7927186,20.33371814,GALAXY
181.4076355,54.4684317,QSO
144.8116911,46.92047672,STAR
344.1731191,19.13264576,GALAXY
344.7363945,19.21243647,GALAXY
345.4177658,19.3134168,GALAXY
2.172225938,16.19665602,QSO
167.6970195,-2.448301392,STAR
338.7670717,20.22490516,GALAXY
29.98416518,10.84376415,QSO
137.2969378,43.66577476,GALAXY
116.562614,27.52112922,GALAXY
136.7230978,43.4895958,GALAXY
119.125577,30.24383019,GALAXY
139.0216404,10.84679253,STAR
6.92376243,-7.171385604,GALAXY
7.422320376,-7.092414458,GALAXY
353.0493562,2.058503831,QSO
207.9757918,7.515927906,STAR
164.1158186,23.56505075,QSO
116.0958893,30.45661151,QSO
336.9000742,18.1343554,GALAXY
1.450489567,16.18984861,GALAXY
0.897616927,-8.05245344,GALAXY
346.5385253,-1.831567186,GALAXY
347.3297384,-1.753196014,GALAXY
184.9315004,7.664289815,GALAXY
198.6633483,7.316756481,GALAXY
336.8458991,19.98816058,GALAXY
329.5320046,18.50314166,STAR
330.9304162,18.76884312,GALAXY
331.0818191,18.82351478,GALAXY
345.0282098,21.08373087,STAR
22.82819558,11.479543,GALAXY
316.825682,7.865024986,GALAXY
40.49767767,3.560160934,GALAXY
242.7101015,17.8369965,STAR
241.056947,18.48223578,STAR
160.7244709,25.20411955,GALAXY
6.125301287,-1.169407719,GALAXY
253.903288,21.64624399,GALAXY
136.129033,32.76938051,GALAXY
341.7962244,20.75688464,GALAXY
242.895108,26.35413005,GALAXY
254.3174856,18.45263092,GALAXY
238.1899641,29.17720376,GALAXY
179.7502037,-2.673389921,STAR
189.8541471,-2.636599144,STAR
241.4590468,27.24533052,GALAXY
244.7729047,25.20518652,GALAXY
12.27257455,-8.260558093,GALAXY
181.0716073,54.33957169,QSO
182.7731945,54.42137895,QSO
338.5802286,20.21664912,GALAXY
346.5019246,12.66310264,QSO
327.7840794,9.458564974,GALAXY
5.24539637,12.04978632,GALAXY
338.1475803,-0.243602104,GALAXY
235.2159434,30.77876451,GALAXY
251.0647535,20.79603961,GALAXY
232.5869424,32.17321231,GALAXY
229.2830273,33.52074333,GALAXY
354.438295,32.19565345,STAR
132.3677285,40.84110788,GALAXY
343.6384881,23.7716558,GALAXY
139.420929,44.95587529,GALAXY
127.5910367,37.47453409,GALAXY
329.9996234,3.726587912,QSO
211.9374232,48.84434965,GALAXY
348.7029987,2.030856673,QSO
5.558010114,-3.102494069,QSO
165.9244452,32.33980136,GALAXY
135.7433358,46.41029673,STAR
249.6085305,45.77681116,QSO
125.8853125,13.49412713,STAR
133.1104174,16.12344683,GALAXY
40.29111418,3.586411109,GALAXY
24.95262562,2.378935036,GALAXY
36.91526376,24.08637177,STAR
217.7677579,3.643497838,GALAXY
4.617657052,15.38650124,GALAXY
345.3192011,26.13304773,QSO
349.7471568,18.53768963,STAR
66.51820543,17.12065377,STAR
210.841126,7.310204059,STAR
24.0073888,18.74291911,QSO
177.892986,54.17634892,GALAXY
162.6116843,52.22326714,GALAXY
218.5622031,25.4253978,GALAXY
331.9915779,18.38928499,STAR
43.67258231,3.118984003,GALAXY
134.2559804,31.58466408,QSO
144.8394348,31.19624589,GALAXY
145.1552789,31.26454196,GALAXY
130.3277566,29.48967494,GALAXY
169.394457,27.74662119,QSO
171.2128039,27.9994711,STAR
173.0467607,28.11568152,STAR
26.43282911,11.03811648,GALAXY
340.769739,20.60637412,GALAXY
242.1654629,26.82890873,GALAXY
341.822557,10.89639827,QSO
346.6500755,21.41942276,GALAXY
329.5646293,18.51234295,QSO
267.8727335,25.26388096,STAR
118.1620721,29.28229906,GALAXY
332.3230115,21.70544125,GALAXY
345.4239245,23.96474469,GALAXY
135.3762364,42.76832738,GALAXY
0.724235845,16.17665938,STAR
215.0940347,-2.431389549,QSO
230.8610876,46.53686521,GALAXY
120.951332,41.81994683,GALAXY
153.3603274,15.99827398,GALAXY
197.5909602,33.17643584,GALAXY
131.0799197,43.50723233,STAR
156.8166525,56.94472013,GALAXY
159.6604774,5.349954202,GALAXY
244.558638,25.33053786,GALAXY
231.4161767,32.72469847,GALAXY
155.0045483,24.16787374,GALAXY
155.2195719,24.24272092,GALAXY
347.5654299,-1.887573593,GALAXY
348.9732321,-1.870323557,GALAXY
37.50434375,25.09658069,STAR
237.540105,33.71978891,GALAXY
228.626249,12.68317012,QSO
357.8852821,2.724528808,QSO
5.808392305,-1.052766662,GALAXY
15.80591297,-1.05681497,GALAXY
343.0680771,12.43770821,STAR
166.0169345,16.76606087,GALAXY
158.855497,58.09054548,GALAXY
352.1522152,20.10192415,GALAXY
353.4866729,20.16358382,GALAXY
2.081037181,20.54462525,GALAXY
152.4807359,22.01968422,STAR
241.6234263,54.16755039,GALAXY
151.3390875,49.40966439,GALAXY
12.90647339,3.165370337,QSO
10.76788382,11.94980744,QSO
11.56886472,11.84718123,QSO
233.6638714,31.59595723,GALAXY
346.3236975,11.3367126,GALAXY
10.11395548,-8.177208356,GALAXY
181.8332574,54.50006463,QSO
125.9283254,41.46895907,GALAXY
148.4801952,5.868383011,GALAXY
128.7642757,4.044497207,GALAXY
127.1969758,3.851750046,GALAXY
129.3916924,4.197418416,GALAXY
136.6631615,4.92316235,GALAXY
340.0683226,-0.336132564,GALAXY
